Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away
1678014000;05.03.2023-12:00;Cartagena;Cornella;26;22;11;14;;21;17;14;14;
1678014000;05.03.2023-12:00;Tizona Burgos;Clavijo;24;23;15;28;;19;9;21;17;
1677960000;04.03.2023-21:00;Gran Canaria B;L'Hospitalet;20;27;16;18;;28;22;16;19;
1677957300;04.03.2023-20:15;Huesca;Mollet;19;22;16;18;;15;23;16;12;
1677956400;04.03.2023-20:00;Navarra;La Roda;12;20;18;23;;13;13;19;15;
1677956400;04.03.2023-20:00;Real Canoe;Talavera;23;20;13;14;;16;23;11;19;
1677956400;04.03.2023-20:00;Zamora;Moron;23;24;17;23;;29;13;9;22;
1677954600;04.03.2023-19:30;Enrique Soler;Algeciras;22;10;12;8;;18;16;21;18;
1677954600;04.03.2023-19:30;Sant Antoni;Salou;19;18;21;15;;18;19;22;21;
1677954600;04.03.2023-19:30;Vive Menorca;Benicarlo;16;25;15;21;;15;7;12;16;
1677952800;04.03.2023-19:00;Basquet L'Horta Godella;Fibwi Palma;14;33;17;23;;17;12;23;14;
1677951000;04.03.2023-18:30;Ponferrada;Baskonia B;27;26;28;12;;18;29;20;17;
1677951000;04.03.2023-18:30;Zornotza ST;Tormes;21;16;23;14;;23;18;11;13;
1677697200;01.03.2023-20:00;Cartagena;Basquet L'Horta Godella;31;15;19;23;;7;18;11;15;
1677668400;01.03.2023-12:00;Fibwi Palma;Gran Canaria B;21;21;6;28;30;21;17;21;17;29
1676829600;19.02.2023-19:00;Clavijo;Real Canoe;18;29;23;19;;14;24;15;14;
1676826900;19.02.2023-18:15;Salou;Cartagena;18;19;13;8;;17;13;21;21;
1676826000;19.02.2023-18:00;Benicarlo;Basquet L'Horta Godella;16;25;24;19;;16;7;19;15;
1676806200;19.02.2023-12:30;La Roda;Ponferrada;24;24;15;23;30;21;20;29;16;29
1676745000;18.02.2023-19:30;L'Hospitalet;Huesca;17;16;23;22;;22;19;20;24;
1676743200;18.02.2023-19:00;Algeciras;Zamora;14;17;21;27;;28;16;18;22;
1676743200;18.02.2023-19:00;Cornella;Alginet;22;23;32;21;;14;17;24;23;
1676743200;18.02.2023-19:00;Mollet;Sant Antoni;22;14;15;19;;26;27;19;26;
1676743200;18.02.2023-19:00;Talavera;Enrique Soler;21;19;19;23;;12;17;23;18;
1676743200;18.02.2023-19:00;Tormes;Tizona Burgos;20;8;10;15;;20;22;24;17;
1676740500;18.02.2023-18:15;Prat Joventut;Vive Menorca;23;20;24;19;;15;13;20;15;
1676739600;18.02.2023-18:00;Baskonia B;Zornotza ST;15;16;25;16;;24;21;15;22;
1676739600;18.02.2023-18:00;Moron;Navarra;27;12;12;16;;20;21;30;23;
1676656800;17.02.2023-19:00;Basquet L'Horta Godella;Gran Canaria B;24;27;21;21;;21;20;18;18;
1676222100;12.02.2023-18:15;Salou;Alginet;18;16;24;15;;15;23;24;19;
1676201400;12.02.2023-12:30;Gran Canaria B;Benicarlo;16;16;18;14;;19;21;12;21;
1676145600;11.02.2023-21:00;Huesca;Fibwi Palma;18;17;24;16;;22;29;15;17;
1676142000;11.02.2023-20:00;Enrique Soler;Zamora;14;18;8;11;;20;11;14;23;
1676142000;11.02.2023-20:00;Navarra;Algeciras;18;27;18;25;;19;18;22;23;
1676140200;11.02.2023-19:30;Real Canoe;Tormes;24;13;26;16;;18;22;16;19;
1676140200;11.02.2023-19:30;Sant Antoni;Cartagena;17;14;22;19;;24;14;12;14;
1676140200;11.02.2023-19:30;Vive Menorca;Cornella;16;25;11;24;;15;21;15;32;
1676138400;11.02.2023-19:00;Talavera;Clavijo;18;21;18;17;;19;19;20;15;
1676138400;11.02.2023-19:00;Tizona Burgos;Baskonia B;19;19;22;23;;16;20;10;22;
1676136600;11.02.2023-18:30;Ponferrada;Moron;17;15;22;22;;28;22;15;15;
1676136600;11.02.2023-18:30;Zornotza ST;La Roda;24;22;19;13;;10;17;20;19;
1676135400;11.02.2023-18:10;Mollet;L'Hospitalet;12;21;22;17;30;12;21;20;19;29
1676133000;11.02.2023-17:30;Basquet L'Horta Godella;Prat Joventut;19;21;10;15;;26;15;21;14;
1675620000;05.02.2023-19:00;Clavijo;Enrique Soler;22;27;17;21;;18;12;9;20;
1675617300;05.02.2023-18:15;Salou;Vive Menorca;19;16;17;15;;17;15;20;16;
1675616400;05.02.2023-18:00;Benicarlo;Huesca;17;22;19;16;;12;26;17;6;
1675616400;05.02.2023-18:00;Fibwi Palma;Mollet;32;22;17;30;;12;31;17;26;
1675594800;05.02.2023-12:00;Cartagena;Alginet;21;18;20;13;;12;16;15;15;
1675594800;05.02.2023-12:00;Prat Joventut;Gran Canaria B;25;18;20;12;;18;14;14;14;
1675539000;04.02.2023-20:30;Zamora;Navarra;17;18;18;23;;13;21;22;23;
1675535400;04.02.2023-19:30;L'Hospitalet;Sant Antoni;21;18;20;20;;19;18;27;21;
1675533600;04.02.2023-19:00;Algeciras;Ponferrada;22;23;22;20;;19;20;21;16;
1675533600;04.02.2023-19:00;Cornella;Basquet L'Horta Godella;19;22;22;18;;17;19;26;24;
1675533600;04.02.2023-19:00;La Roda;Tizona Burgos;13;18;23;17;;20;23;19;18;
1675533600;04.02.2023-19:00;Tormes;Talavera;15;12;24;14;;18;11;20;23;
1675530000;04.02.2023-18:00;Baskonia B;Real Canoe;33;8;24;27;;20;21;21;12;
1675530000;04.02.2023-18:00;Moron;Zornotza ST;20;20;23;8;;22;24;24;29;
1674410400;22.01.2023-19:00;Clavijo;Tormes;14;15;10;27;;15;16;16;16;
1674406800;22.01.2023-18:00;Salou;Basquet L'Horta Godella;19;27;23;15;;16;19;9;25;
1674330300;21.01.2023-20:45;Talavera;Baskonia B;18;19;12;28;;18;26;21;19;
1674329400;21.01.2023-20:30;Gran Canaria B;Cornella;20;22;14;24;;19;21;22;24;
1674328500;21.01.2023-20:15;Huesca;Prat Joventut;14;18;18;23;;23;18;28;30;
1674327600;21.01.2023-20:00;Real Canoe;La Roda;22;16;22;25;;26;21;27;28;
1674325800;21.01.2023-19:30;Sant Antoni;Alginet;21;35;18;22;;21;29;21;21;
1674325800;21.01.2023-19:30;Vive Menorca;Cartagena;20;16;16;17;;12;14;17;12;
1674324000;21.01.2023-19:00;Enrique Soler;Navarra;30;24;15;14;;19;20;25;11;
1674324000;21.01.2023-19:00;Mollet;Benicarlo;26;14;13;18;;26;21;18;15;
1674324000;21.01.2023-19:00;Tizona Burgos;Moron;34;24;27;28;;16;11;21;16;
1674322200;21.01.2023-18:30;Ponferrada;Zamora;11;11;23;25;;21;21;21;13;
1674322200;21.01.2023-18:30;Zornotza ST;Algeciras;24;25;11;17;;23;13;23;9;
1674320400;21.01.2023-18:00;L'Hospitalet;Fibwi Palma;27;17;19;22;;29;23;21;19;
