Event Time UTC,Event Time,Home Team,Away Team,1st Quarter,2nd Quarter,3rd Quarter,4th Quarter,Overtime Home,1st Quarter Away,2nd Quarter Away,3rd Quarter Away,4th Quarter Away,Overtime Away
1678924800,16.03.2023-01:00,Chicago Bulls,Sacramento Kings,30,28,22,34,,25,23,37,32,
1678924800,16.03.2023-01:00,Houston Rockets,Los Angeles Lakers,31,31,21,31,,19,29,26,36,
1678924800,16.03.2023-01:00,Minnesota Timberwolves,Boston Celtics,23,20,28,31,,23,21,33,27,
1678923000,16.03.2023-00:30,Cleveland Cavaliers,Philadelphia 76ers,24,36,23,26,,29,26,29,34,
1678923000,16.03.2023-00:30,Miami Heat,Memphis Grizzlies,29,34,42,33,,27,24,26,42,
1678845600,15.03.2023-03:00,Phoenix Suns,Milwaukee Bucks,24,24,36,20,,29,28,28,31,
1678845600,15.03.2023-03:00,Portland Trail Blazers,New York Knicks,33,22,26,26,,20,29,42,32,
1678838400,15.03.2023-01:00,New Orleans Pelicans,Los Angeles Lakers,24,16,35,33,,39,36,23,25,
1678838400,15.03.2023-01:00,Oklahoma City Thunder,Brooklyn Nets,24,28,38,31,,33,29,20,25,
1678838400,15.03.2023-01:00,San Antonio Spurs,Orlando Magic,38,29,31,34,,29,32,28,25,
1678836600,15.03.2023-00:30,Toronto Raptors,Denver Nuggets,49,23,26,27,,30,26,36,18,
1678834800,15.03.2023-00:00,Charlotte Hornets,Cleveland Cavaliers,27,21,28,28,,30,33,35,22,
1678834800,15.03.2023-00:00,Washington Wizards,Detroit Pistons,38,23,33,23,,20,25,27,25,
1678759200,14.03.2023-03:00,Golden State Warriors,Phoenix Suns,43,32,23,25,,21,37,30,24,
1678759200,14.03.2023-03:00,Sacramento Kings,Milwaukee Bucks,32,30,25,37,,27,26,37,43,
1678752000,14.03.2023-01:00,Houston Rockets,Boston Celtics,31,31,23,26,,29,26,25,29,
1678750200,14.03.2023-00:30,Atlanta Hawks,Minnesota Timberwolves,29,23,33,30,,40,36,30,30,
1678750200,14.03.2023-00:30,Dallas Mavericks,Memphis Grizzlies,25,25,21,17,,29,20,36,19,
1678750200,14.03.2023-00:30,Miami Heat,Utah Jazz,33,23,34,29,,26,31,33,25,
1678748400,14.03.2023-00:00,Detroit Pistons,Indiana Pacers,38,29,24,26,,20,29,19,29,
