Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away
1679853600;26.03.2023-20:00;Basket Zaragoza;Valencia;24;14;20;28;;22;14;19;20;
1679848200;26.03.2023-18:30;Fuenlabrada;Real Madrid;13;18;26;21;;29;21;32;20;
1679842800;26.03.2023-17:00;Baskonia;Bilbao;24;27;27;22;;17;10;25;26;
1679828400;26.03.2023-13:00;Tenerife;Gran Canaria;19;14;26;22;;11;20;20;26;
1679826600;26.03.2023-12:30;Real Betis;Unicaja;20;10;20;16;;25;15;18;21;
1679773500;25.03.2023-20:45;Barcelona;Joventut Badalona;18;21;28;20;;13;17;21;20;
1679773500;25.03.2023-20:45;Granada;Murcia;26;23;25;14;;16;17;22;12;
1679763600;25.03.2023-18:00;Basquet Girona;Manresa;12;21;21;25;;12;27;27;20;
1679763600;25.03.2023-18:00;Obradoiro CAB;Breogan;17;24;10;16;;14;19;22;19;
1679247000;19.03.2023-18:30;Real Madrid;Baskonia;27;18;24;19;;15;24;31;25;
1679245200;19.03.2023-18:00;Valencia;Granada;20;18;24;18;;18;16;18;20;
1679241600;19.03.2023-17:00;Unicaja;Barcelona;24;15;18;24;;16;19;26;25;
1679225400;19.03.2023-12:30;Bilbao;Basquet Girona;19;23;19;23;;16;21;18;22;
1679225400;19.03.2023-12:30;Breogan;Basket Zaragoza;20;19;21;11;;28;21;24;14;
1679171400;18.03.2023-21:30;Gran Canaria;Murcia;27;30;18;32;;27;10;23;29;
1679168700;18.03.2023-20:45;Joventut Badalona;Fuenlabrada;29;18;30;26;;25;13;22;26;
1679158800;18.03.2023-18:00;Manresa;Real Betis;19;29;26;17;;17;19;33;15;
1679158800;18.03.2023-18:00;Obradoiro CAB;Tenerife;11;10;14;23;;22;13;19;24;
1678647600;12.03.2023-20:00;Fuenlabrada;Breogan;16;23;18;16;;24;14;37;17;
1678642200;12.03.2023-18:30;Barcelona;Manresa;32;24;21;16;;18;11;20;23;
