Failed Row,Error Message
https://www.flashscore.com/basketball/world/club-friendly-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/club-friendly-women/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-cup-3x3-u18/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-cup-3x3-u18/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-utsunomiya-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-utsunomiy' for key 'urls.urls'
https://www.flashscore.com/basketball/world/commonwealth-games-3x3-women/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/commonwealth-games-3' for key 'urls.urls'
https://www.flashscore.com/basketball/philippines/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/philippines/' for key 'urls.urls'
https://www.flashscore.com/basketball/saudi-arabia/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/saudi-arabia/' for key 'urls.urls'
https://www.flashscore.com/basketball/usa/nba/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/usa/nba/' for key 'urls.urls'
https://www.flashscore.com/basketball/chile/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/chile/' for key 'urls.urls'
https://www.flashscore.com/basketball/serbia/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/serbia/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/americas-championship-u18/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/americas-championshi' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-montreal-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-montreal-' for key 'urls.urls'
https://www.flashscore.com/basketball/ireland/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/ireland/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-saskatoon-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-saskatoon' for key 'urls.urls'
https://www.flashscore.com/basketball/africa/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/africa/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-tour-mexico-city-3x3/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-tour-mexico-ci' for key 'urls.urls'
https://www.flashscore.com/basketball/world/world-cup/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/world-cup/' for key 'urls.urls'
https://www.flashscore.com/basketball/norway/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/norway/' for key 'urls.urls'
https://www.flashscore.com/basketball/world/commonwealth-games/,1062 (23000): Duplicate entry 'https://www.flashscore.com/basketball/world/commonwealth-games/' for key 'urls.urls'
