Event Time UTC;Event Time;Home Team;Away Team;1st Quarter;2nd Quarter;3rd Quarter;4th Quarter;Overtime Home;1st Quarter Away;2nd Quarter Away;3rd Quarter Away;4th Quarter Away;Overtime Away;MatchId;Country;Competition
1681052400;09.04.2023-17:00;Pau-Orthez;Monaco;20;16;13;23;;17;29;21;27;;g_3_UFY19TK9;france;lnb
1680976800;08.04.2023-20:00;Ada Blois;Le Portel;17;17;21;19;;19;20;20;20;;g_3_M5uC6ZE4;france;lnb
1680976800;08.04.2023-20:00;Dijon;Cholet;23;20;26;33;;11;23;23;25;;g_3_UVrK4DqH;france;lnb
1680976800;08.04.2023-20:00;Nancy;Le Mans;28;28;20;24;;15;24;19;22;;g_3_ATdlmoEq;france;lnb
1680976800;08.04.2023-20:00;Nanterre;Fos-sur-Mer;18;29;17;29;;31;22;15;20;;g_3_OW0hn5Tk;france;lnb
1680966000;08.04.2023-17:00;Boulogne-Levallois;Strasbourg;26;23;24;20;;24;17;21;18;;g_3_jupG5gUA;france;lnb
1680890400;07.04.2023-20:00;Roanne;JL Bourg;26;26;21;35;;24;32;24;31;;g_3_dpa0pqb2;france;lnb
1680719400;05.04.2023-20:30;Paris;Fos-sur-Mer;27;22;22;29;;24;23;25;25;;g_3_8x8uVUEJ;france;lnb
1680631200;04.04.2023-20:00;Gravelines-Dunkerque;Monaco;16;12;14;25;;19;19;20;15;;g_3_4STd2xyo;france;lnb
1680631200;04.04.2023-20:00;JL Bourg;Le Portel;23;17;17;19;;14;24;8;25;;g_3_b7Ql8776;france;lnb
1680631200;04.04.2023-20:00;Le Mans;Lyon-Villeurbanne;29;9;30;11;;14;22;22;22;;g_3_SOVLQc1C;france;lnb
1680454800;02.04.2023-19:00;Monaco;Boulogne-Levallois;20;20;22;25;;24;13;17;14;;g_3_hAqCP8xs;france;lnb
1680447600;02.04.2023-17:00;Lyon-Villeurbanne;Roanne;30;23;28;15;;25;18;18;17;;g_3_nT6qUlUP;france;lnb
1680372000;01.04.2023-20:00;Cholet;Nanterre;22;31;12;15;;22;16;20;28;;g_3_UH3ojEUN;france;lnb
1680372000;01.04.2023-20:00;Le Mans;Dijon;27;21;26;22;;19;25;26;11;;g_3_l2pIphho;france;lnb
1680372000;01.04.2023-20:00;Limoges;Pau-Orthez;17;21;20;23;;14;23;26;26;;g_3_KtqI9xFh;france;lnb
1680372000;01.04.2023-20:00;Nancy;JL Bourg;15;20;22;25;;28;20;28;20;;g_3_0ji38eph;france;lnb
1680372000;01.04.2023-20:00;Strasbourg;Ada Blois;13;26;16;30;;29;18;25;23;;g_3_rFt87Fab;france;lnb
1680285600;31.03.2023-20:00;Fos-sur-Mer;Gravelines-Dunkerque;17;17;17;12;;15;21;21;12;;g_3_ngbjkYqU;france;lnb
1680285600;31.03.2023-20:00;Le Portel;Paris;18;18;13;35;;21;12;17;21;;g_3_25Ya9yVo;france;lnb
1680028200;28.03.2023-20:30;Boulogne-Levallois;Le Mans;19;21;21;28;;19;22;14;28;;g_3_r11ZhGp5;france;lnb
1680028200;28.03.2023-20:30;Dijon;Limoges;16;19;19;21;;15;15;25;14;;g_3_d45whz0B;france;lnb
1680026400;28.03.2023-20:00;Ada Blois;Nancy;9;21;22;23;;29;13;14;22;;g_3_0xCUgdVb;france;lnb
1680026400;28.03.2023-20:00;Gravelines-Dunkerque;Roanne;33;20;18;25;;19;27;29;26;;g_3_jR4sifFH;france;lnb
1680026400;28.03.2023-20:00;Nanterre;Pau-Orthez;22;17;13;33;;22;17;16;9;;g_3_j7vEAIan;france;lnb
1679850000;26.03.2023-19:00;Limoges;Monaco;18;23;14;28;;21;21;19;15;;g_3_nXMp9mh0;france;lnb
1679836500;26.03.2023-15:15;JL Bourg;Dijon;20;12;14;23;;15;20;16;24;;g_3_2sp4wyoI;france;lnb
1679770800;25.03.2023-20:00;Cholet;Paris;20;15;11;17;;19;19;30;11;;g_3_d4q8xe0O;france;lnb
1679770800;25.03.2023-20:00;Fos-sur-Mer;Lyon-Villeurbanne;22;14;20;18;;12;29;23;16;;g_3_hANtATxf;france;lnb
1679770800;25.03.2023-20:00;Nanterre;Nancy;24;19;22;16;;16;23;20;16;;g_3_zVEIdbot;france;lnb
1679770800;25.03.2023-20:00;Pau-Orthez;Ada Blois;27;16;12;16;2;20;20;11;20;11;g_3_CGuABbpt;france;lnb
1679770800;25.03.2023-20:00;Strasbourg;Gravelines-Dunkerque;26;20;18;26;;20;26;13;32;;g_3_MoDQfxGh;france;lnb
1679684400;24.03.2023-20:00;Le Portel;Boulogne-Levallois;22;19;10;27;;20;21;23;13;;g_3_A7mCyFFU;france;lnb
1679684400;24.03.2023-20:00;Roanne;Le Mans;31;20;31;23;;18;20;37;17;;g_3_ELDMeI0n;france;lnb
1679425200;21.03.2023-20:00;Gravelines-Dunkerque;Cholet;26;22;25;19;;8;21;30;19;;g_3_SOiitw1a;france;lnb
1679425200;21.03.2023-20:00;Monaco;Le Portel;27;23;19;30;;21;11;20;26;;g_3_drUXBk8s;france;lnb
